Job Class,Percentage,Rating
Management,6.1,100
Business and Financial operations,5,7
Computer and Mathematical,2.7,12
Architecture and Engineering,1.7,45
"Life, Physical and Social Science",0.9,21
Community and Social Service,1.6,2
Legal,0.8,90
"Education, training and library",6.1,8
"Arts, design, entertainment, sports and media",1.7,3
Healthcare practioners and technical,5.5,88
Healthcare support,2.8,15
Protective service,2.3,35
Food preparation and serving,8.3,67
Building and grounds cleaning and maintenance,3.7,92
Personal care and service,4,91
Sales,10.2,18
Office and administrative support,15.1,90
"Farming, fishing and forestry",0.6,36
Construction and extraction,4.3,88
"Installation, maintenance and repair",3.8,89
Production,6.1,97
Transportation and material moving,6.5,90
Total,99.8,100
